"X1" "X2" "X3" "yc"
"1" 0.18 9.27 5.33 40.2847207128885
"2" 0.18 9.27 5.33 27.7003098716246
"3" 0.18 9.27 5.33 36.5713042532362
"4" 0.18 9.27 5.33 29.1954779936341
"5" 0.18 9.27 5.33 43.1783285808291
"6" 0.18 9.27 5.33 41.6052690332664
"7" 0.18 9.27 5.33 36.6299967323821
"8" 0.18 9.27 5.33 41.8435815641844
"9" 0.23 3.31 13.43 28.5329018338727
"10" 0.23 3.31 13.43 18.1561515908351
"11" 0.23 3.31 13.43 26.8209741114524
"12" 0.23 3.31 13.43 23.9344973430214
"13" 0.23 3.31 13.43 21.6715574394088
"14" 0.23 3.31 13.43 23.5372193341445
"15" 0.23 3.31 13.43 20.4649141864002
"16" 0.23 3.31 13.43 22.5114354171205
"17" 0.28 12.02 9.83 26.8745279965476
"18" 0.28 12.02 9.83 25.1202749140894
"19" 0.28 12.02 9.83 18.6471663619744
"20" 0.28 12.02 9.83 18.9980481457384
"21" 0.28 12.02 9.83 27.8857639265936
"22" 0.28 12.02 9.83 22.0210664911126
"23" 0.28 12.02 9.83 16.6249864086115
"24" 0.28 12.02 9.83 26.8479091603887
"25" 0.34 6.52 3.08 62.5514403292181
"26" 0.34 6.52 3.08 57.8187737384699
"27" 0.34 6.52 3.08 52.0387082744373
"28" 0.34 6.52 3.08 55.3067185978578
"29" 0.34 6.52 3.08 55.0526430044502
"30" 0.34 6.52 3.08 57.8745759001861
"31" 0.34 6.52 3.08 55.7159917489958
"32" 0.34 6.52 3.08 56.2184790957972
"33" 0.4 13.85 7.13 29.1869654649778
"34" 0.4 13.85 7.13 22.0062968190207
"35" 0.4 13.85 7.13 18.9814312086003
"36" 0.4 13.85 7.13 17.0562770562771
"37" 0.4 13.85 7.13 27.5324104592397
"38" 0.4 13.85 7.13 21.9812878370941
"39" 0.4 13.85 7.13 14.0851202786546
"40" 0.4 13.85 7.13 14.7476512999782
"41" 0.45 4.23 8.48 28.498256320837
"42" 0.45 4.23 8.48 22.4094539884014
"43" 0.45 4.23 8.48 20.0594190140845
"44" 0.45 4.23 8.48 13.3340673860383
"45" 0.45 4.23 8.48 24.737532808399
"46" 0.45 4.23 8.48 24.4694960212202
"47" 0.45 4.23 8.48 18.6302576524995
"48" 0.45 4.23 8.48 23.8570794496227
"49" 0.51 10.19 9.83 12.4103455770485
"50" 0.51 10.19 9.83 12.3063302346171
"51" 0.51 10.19 9.83 12.8902425758729
