Dose	Viability
0.1	94.91
0.1	93.26
0.1	99.24
0.1	88.84
0.1	94.73
0.1	95.35
0.1	94.82
0.1	93.22
0.3	94.73
0.3	88.11
0.3	92.43
0.3	85.72
0.3	92.69
0.3	92.42
0.3	92.15
0.3	93.04
0.6	80.47
0.6	78.82
0.6	86.27
0.6	78.17
0.6	78.02
0.6	76.96
0.6	86.82
0.6	92.51
1	68.06
1	73.02
1	63.18
1	67.5
1	69.94
1	63
1	70.82
1	72.07
2	28.6
2	29.98
2	29.61
2	31.63
2	31.19
2	32.17
2	31.1
2	29.68
3	13.79
3	13.33
3	13.52
3	13.61
3	13.77
3	12.88
3	13.5
3	13.15
6	6.806
6	7.358
6	7.541
6	7.633
6	5.776
6	6.931
6	7.198
6	4.532
10	6.162
10	6.99
10	6.99
10	6.622
10	2.31
10	4.71
10	0.977
10	1.421
