Drug1	Drug2	Response
0.138	3.174	19.96
0.138	3.174	20.86
0.49	0.843	36.46
0.49	0.843	33.29
0.574	8.779	5.482
0.574	8.779	6.301
0.574	8.779	5.891
0.574	8.779	6.784
0.574	8.779	5.626
0.574	8.779	5.382
0.747	0.005	60.06
0.747	0.005	68.24
0.747	0.005	64.32
0.747	0.005	66.38
0.747	0.005	66.99
0.747	0.005	63.03
1.137	5.986	4.5
1.137	5.986	4.991
1.137	5.986	5.564
1.137	5.986	1.3
1.137	5.986	1.604
1.137	5.986	1.726
1.267	0.061	37.8
1.267	0.061	37.15
1.267	0.061	36.25
1.267	0.061	36.15
1.267	0.061	32.98
1.267	0.061	31.58
1.546	3.875	0.982
1.546	3.875	2.045
1.546	3.875	2.127
1.546	3.875	0.873
1.546	3.875	0.995
1.546	3.875	1.787
1.623	0.238	12.19
1.623	0.238	15.71
1.623	0.238	13.74
1.623	0.238	13.06
1.623	0.238	13.54
1.623	0.238	12.08
1.8	2.343	4.664
1.8	2.343	5.237
1.8	2.343	5.482
1.8	2.343	0.995
1.8	2.343	1.665
1.8	2.343	1.3
1.843	0.618	6.055
1.843	0.618	7.201
1.843	0.618	7.937
1.843	0.618	5.078
1.843	0.618	7.515
1.843	0.618	3.981
1.899	1.298	4.255
1.899	1.298	3.6
4.008	0.013	0.995
4.008	0.013	0.751
4.175	1.637	0.982
4.175	1.637	1.8
4.175	1.637	1.636
4.175	1.637	5.504
4.175	1.637	0.629
4.175	1.637	0.02
4.218	0.23	1.718
4.218	0.23	1.636
4.218	0.23	1.473
4.218	0.23	1.482
4.218	0.23	1.239
4.218	0.23	0.69
4.274	0.743	1.554
4.274	0.743	1.718
4.274	0.743	1.718
4.274	0.743	0.264
4.274	0.743	0.751
4.274	0.743	0.081
0.138	3.174	22.25
0.138	3.174	18.18
0.138	3.174	20.49
0.138	3.174	26.71
0.224	0.041	81.01
0.224	0.041	80.93
0.224	0.041	75.12
0.224	0.041	86.55
0.224	0.041	88.99
0.224	0.041	93.91
0.391	1.771	24.22
0.391	1.771	24.38
0.391	1.771	24.05
0.391	1.771	25.18
0.391	1.771	23.72
0.391	1.771	35.05
0.436	0.297	56.71
0.436	0.297	56.87
0.436	0.297	53.51
0.436	0.297	59.25
0.436	0.297	47.91
0.436	0.297	53.15
0.49	0.843	33.14
0.49	0.843	37.47
0.49	0.843	30.68
0.49	0.843	35.48
1.899	1.298	4.5
1.899	1.298	0.873
1.899	1.298	1.178
1.899	1.298	1.543
3.921	3.006	0.9
3.921	3.006	1.309
3.921	3.006	1.554
3.921	3.006	0.446
3.921	3.006	0.446
3.921	3.006	0.568
4.008	0.013	2.061
4.008	0.013	3.6
4.008	0.013	3.355
4.008	0.013	1.604
