Number,DiscrepancyCL2,3Run,4Run,5Run,6Run,7Run,8Run,9Run,10Run,11Run,12Run,13RUN,14RUN,15RUN,16RUN,17RUN,18RUN,19RUN,20RUN,21RUN,22RUN,23RUN,24RUN,25RUN,26RUN,27RUN,28RUN,29RUN,30RUN
0,0,0.029578,0.016263,0.011051,0.007628,0.005824,0.004475,0.003583,0.002953,0.002467,0.002076,0.001747,0.001538,0.001342,0.00119,0.001056,0.000949,0.000858,0.000769,0.000705,0.000646,0.000595,0.000544,0.000503,0.00047,0.000437,0.000405,0.000379,0.000357
1,1,3,2,2,4,5,6,4,3,4,6,6,8,7,10,7,11,9,9,13,14,9,15,7,11,12,17,18,12
2,2,1,4,5,2,2,2,7,9,9,10,11,3,13,3,15,4,16,18,3,3,20,4,22,22,23,9,6,26
3,3,2,1,3,6,7,4,2,5,7,2,2,13,2,15,2,17,3,2,20,21,2,22,14,3,3,26,27,3
4,4,,3,1,1,4,8,9,7,1,8,9,6,10,6,12,7,12,13,8,10,16,8,2,17,17,2,11,21
5,5,,,4,5,1,1,5,1,11,4,4,11,4,8,10,14,5,6,16,7,12,18,18,8,8,21,22,16
6,6,,,,3,6,5,1,8,3,12,13,1,15,13,4,2,19,16,5,17,6,11,11,25,26,14,2,9
7,7,,,,,3,7,8,4,6,1,7,10,8,1,17,9,7,11,10,5,23,2,25,15,15,6,14,29
8,8,,,,,,3,3,10,8,9,1,5,5,12,5,15,14,4,18,19,14,20,4,5,5,24,25,5
9,9,,,,,,,6,2,2,5,10,14,12,5,9,6,1,20,1,12,4,13,16,20,21,11,9,18
10,10,,,,,,,,6,10,11,5,4,1,16,13,12,10,7,15,1,18,6,9,13,10,19,20,23
11,11,,,,,,,,,5,3,12,9,11,4,1,1,17,14,11,15,7,24,20,1,19,4,4,7
12,12,,,,,,,,,,7,3,2,6,9,14,18,4,1,7,9,11,9,6,24,1,28,16,14
13,13,,,,,,,,,,,8,12,14,11,8,10,13,17,21,22,21,16,13,9,25,13,29,27
14,14,,,,,,,,,,,,7,3,2,6,5,8,10,4,6,1,1,23,18,14,7,7,1
15,15,,,,,,,,,,,,,9,14,16,13,18,5,12,11,15,19,1,6,6,22,13,20
16,16,,,,,,,,,,,,,,7,3,3,2,15,17,18,8,12,17,21,22,16,24,10
17,17,,,,,,,,,,,,,,,11,16,11,8,6,2,19,5,10,14,9,1,1,24
18,18,,,,,,,,,,,,,,,,8,15,19,14,16,5,23,21,4,18,25,21,15
19,19,,,,,,,,,,,,,,,,,6,3,2,8,13,14,5,26,4,10,10,4
20,20,,,,,,,,,,,,,,,,,,12,19,20,22,7,15,10,27,18,17,30
21,21,,,,,,,,,,,,,,,,,,,9,4,3,17,8,16,13,5,28,11
22,22,,,,,,,,,,,,,,,,,,,,13,17,3,24,7,7,23,5,19
23,23,,,,,,,,,,,,,,,,,,,,,10,21,3,19,20,15,15,6
24,24,,,,,,,,,,,,,,,,,,,,,,10,19,2,16,8,23,25
25,25,,,,,,,,,,,,,,,,,,,,,,,12,23,2,27,8,17
26,26,,,,,,,,,,,,,,,,,,,,,,,,12,24,3,19,2
27,27,,,,,,,,,,,,,,,,,,,,,,,,,11,20,3,28
28,28,,,,,,,,,,,,,,,,,,,,,,,,,,12,26,13
29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8
30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
